#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-03 15:12:24.274
#Start: 1 Hz
#Stop: 4e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.50114 V
#Offset: 0.000279596 V
#Relative: no
#Channel: Channel 2
#Range: 5.48809 V
#Offset: -7.85371e-05 V
#Relative: yes
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.5 V
#Negative Supply: ON
#Voltage: -3.5 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000002,-0.02267199912384029,-37.72555901637824,122.1524811997113
1.106658778227531,-0.02259594907027905,-36.60920179365976,119.504380615437
1.224693651428048,-0.02294457854291617,-35.51995237654868,116.9200574536586
1.355317979992375,-0.0227607961481066,-34.44901592629147,114.4300773992994
1.499874539848165,-0.02270363068467071,-33.40863207161316,112.0647084598236
1.659849325762948,-0.02269507564109375,-32.39338384899672,109.7962626333124
1.836886826890612,-0.0224190742055845,-31.39694011202057,107.6717634334122
2.032806931589004,-0.02243559406936856,-30.42211507119664,105.6710068739327
2.24962363528474,-0.02240160725669898,-29.46710920599611,103.7909317401718
2.489565743695983,-0.02250331364909232,-28.53410100978525,102.0116563171106
2.755099784235707,-0.02245352618074098,-27.60198381934826,100.3305176503253
3.048955361117218,-0.02259260665547684,-26.68308599718193,98.72758496417109
3.374153214804249,-0.02265926474934421,-25.772809633485,97.22907067195315
3.73403627424776,-0.02249186109622509,-24.87374843139444,95.77362101488056
4.132304021116302,-0.02258529764475923,-23.97628656812106,94.38100520218129
4.573050519273274,-0.02252542587278846,-23.08475302837154,93.03609013804727
5.060806500431729,-0.02253291201491931,-22.20185956534769,91.74252866446642
5.600585938613705,-0.02267219870829649,-21.32478180324986,90.4541861490676
6.197937592184523,-0.02260264532007719,-20.44802763182517,89.18556031840167
6.8590020432974,-0.02255646793411498,-19.57892194052307,87.90814609427889
7.590574821095612,-0.02227058262172021,-18.71065623526514,86.61690394863683
8.400176257558316,-0.02270197537199159,-17.85109039256859,85.30560900501982
9.296128794085407,-0.02271760714955327,-16.99410904183253,83.95950533957823
10.28764253350829,-0.02268722391714214,-16.14567721553158,82.56815841532193
11.38490991697385,-0.02259829693418205,-15.30353693307026,81.11645189423498
12.59921049894874,-0.02280841098886632,-14.4702376925861,79.59321784592768
13.94302689739807,-0.02264665120404164,-13.64449214098275,77.99288018404484
15.43017311106813,-0.02268342592779804,-12.83041472623576,76.30296308622729
17.07593652293393,-0.02282195158121133,-12.02857144162948,74.5107006887651
18.89723504956091,-0.02303808442963726,-11.24158532555322,72.60944605363925
20.91279105182548,-0.02299714823843509,-10.47053023117428,70.59206031986602
23.14332379474079,-0.02296988429342975,-9.719986306027922,68.4536158590651
25.61176243481195,-0.02358118695794954,-8.99199864867596,66.19623703210446
28.34348172436273,-0.02349616862330422,-8.29062415100065,63.80881689462034
31.36656285579756,-0.02384213658113175,-7.617137165963003,61.30783293162567
34.71208212719394,-0.0241892059797068,-6.976807774267428,58.69392481880315
38.41443039661402,-0.02425959933376766,-6.372295589036754,55.9816154853719
42.51166660902334,-0.02448276786119765,-5.805399888034923,53.19033850148583
47.04590902995782,-0.02481817295338896,-5.279800434457855,50.33744344276693
52.0637682076965,-0.02505037173498308,-4.795973696988281,47.45663391706621
57.6168261146507,-0.02516319039557151,-4.355687099436244,44.56038850959281
63.76216639338735,-0.02554363535403135,-3.958474563734893,41.68504904277597
70.56296115804648,-0.02584566502459664,-3.602753998990985,38.85852800355592
78.08912038328018,-0.02610936800279417,-3.288399190443938,36.10033473404505
86.41801055622329,-0.02633570079671054,-3.011850317192351,33.43594696101297
95.63524997900379,-0.02657930917011277,-2.770934043084563,30.88426119053517
105.8355888972487,-0.02695363491023263,-2.562090665515026,28.45669338634252
117.1238835020203,-0.02742680048483265,-2.382171516975439,26.16534884956665
129.6161738176093,-0.02763860468522632,-2.227455538607933,24.01347579266073
143.4408765555223,-0.02746067403963925,-2.095646109553662,22.00192420972809
158.7401051968198,-0.02764740334093094,-1.982917665937802,20.13622490642791
175.6711308728225,-0.02759366814385184,-1.887046281403342,18.40426186403318
194.4079990615661,-0.02767978347598218,-1.804966006164938,16.80415522753847
215.143318719131,-0.0273546841503049,-1.735261857302054,15.3313129831207
238.0902422375294,-0.02775291810391314,-1.675320038283874,13.97451008197731
263.4846565824809,-0.02806200958351855,-1.624812086563488,12.7305987368949
291.5876081352678,-0.02797940622398871,-1.581357771503171,11.59064313274965
322.6879861652631,-0.028091482136178,-1.544975195904944,10.54800033265734
357.1054925183526,-0.02834820921060328,-1.513237739268324,9.592854154697164
395.1939280486994,-0.02823834613606555,-1.486970105646275,8.720384385724273
437.3448295773119,-0.02854238543172369,-1.46396099607625,7.922629876660793
483.991494764155,-0.02820165834067874,-1.444782905201471,7.197460855754457
535.6134362682149,-0.0285162716942502,-1.428416863482519,6.535883727326251
592.7413109828301,-0.02844133923416029,-1.414263835044288,5.932775313083994
655.9623750172442,-0.02851067068605684,-1.402570369671829,5.38600889911163
725.9265204998111,-0.02818638850600316,-1.392285281253216,4.887002838154622
803.3529562592809,-0.02824612666672142,-1.383517035164818,4.432058640433127
889.0376010593695,-0.02860389070191793,-1.375889200846614,4.021488470728912
983.8612653866965,-0.02802680630337933,-1.369994811497665,3.644341516765081
1088.798705898231,-0.0277849491120311,-1.364539315108509,3.30685661681153
1204.928645605051,-0.02778277105646322,-1.359610930804565,2.997027847589237
1333.444862796639,-0.02772679322230721,-1.355537177771374,2.714525027930364
1475.6684626963,-0.02769678912195126,-1.351694011235026,2.460478985089992
1633.061457996384,-0.02784861349204511,-1.348624533699604,2.228068717798095
1807.241797876746,-0.02712287300738752,-1.346081911143785,2.017482578799807
2000.000000000002,-0.02749074824409228,-1.343578405840341,1.826869744846
2213.317556455061,-0.02649700736117385,-1.341565903593133,1.65501665265819
2449.387302856096,-0.02656078663131888,-1.340038477279255,1.495847399446809
2710.635959984751,-0.02498878827866367,-1.338850172235558,1.356627266729802
2999.749079696324,-0.0245449599782343,-1.336684057342993,1.222470912692859
3319.698651525893,-0.02367798589634267,-1.335732379626403,1.103914970619023
3673.773653781221,-0.02275545658754914,-1.333918797045559,0.9972795139081967
4065.613863178004,-0.02283021793193938,-1.332358856291231,0.8977975071172466
4499.247270569481,-0.02001057493653296,-1.330984171638889,0.8038052588728012
4979.131487391967,-0.01984546935834007,-1.32980639618855,0.7208310408169041
5510.199568471404,-0.01693045254609705,-1.328843560480579,0.641717687464876
6097.91072223443,-0.02937382155989254,-1.32775360952724,0.5695689374439894
6748.306429608491,-0.01433567778058867,-1.327040037602459,0.5054093250636811
7468.072548495514,-0.02485085731968097,-1.326091551487226,0.4382964943840335
8264.608042232607,-0.009326592239826749,-1.325916775865439,0.3788073888985721
9146.101038546529,-0.02104722283587817,-1.324764364749345,0.3224341193411284
10121.61300086344,-0.01170845541917538,-1.323861568358022,0.2683545320131202
11201.1718772274,-0.01719317953737088,-1.323207781891928,0.2182097022217988
12395.87518436904,-0.001728744437798984,-1.322595683861248,0.1631677681238841
13718.00408659479,0.001159962166242036,-1.322089571980724,0.1182007708789001
15181.14964219123,0.002599554276170935,-1.322620695520877,0.06638001750822298
16800.35251511664,-0.009762422360873754,-1.321496765921488,0.02078234410561208
18592.25758817076,0.006447288950288441,-1.320731664893757,-0.02989521916882154
20575.28506701656,0.007787234212321731,-1.320728842680535,-0.07974498635553573
22769.81983394768,0.009992468691762551,-1.320032433880867,-0.1297617771761139
25198.42099789745,-0.001632035539969023,-1.320446836300949,-0.1856477758823729
27886.05379479614,0.0135383867044534,-1.319261764170236,-0.2404117504482457
30860.34622213626,0.01544937042478324,-1.319792111688029,-0.2910360519693782
34151.8730458678,0.01999073357307633,-1.319896166211587,-0.358084351288511
37794.47009912178,0.01497254087026412,-1.319333972885172,-0.4229278446482283
41825.58210365092,0.02508795083058373,-1.321034767274919,-0.4949098924266195
46286.64758948157,0.02835086082925306,-1.320330556129987,-0.5662293633315016
51223.52486962389,0.03212326250360695,-1.321553986027928,-0.6340360038336854
56686.96344872535,0.02921929568183517,-1.322988567701159,-0.7225974175339047
62733.12571159504,0.03301864506169185,-1.322733241550858,-0.8241129868156776
69424.16425438767,0.04369452237599069,-1.323279612661773,-0.9058652841646513
76828.86079322797,0.04632909408567067,-1.323988779440244,-1.025311091857715
85023.33321804659,0.05266157850651974,-1.326708443196082,-1.12664906000262
94091.81805991547,0.05680116019848345,-1.328441244099232,-1.235987194837719
104127.536415393,0.05896135384488582,-1.329001884307179,-1.384339768426941
115233.6522293014,0.05912946329371151,-1.322157043654598,-1.521838320376375
127524.3327867745,0.06233447112583924,-1.325898216897501,-1.715915439332448
141125.9223160928,0.06134774148736837,-1.326118168954571,-1.870489487430419
156178.2407665603,0.05193881056181748,-1.322460969257584,-2.127133159127368
172836.0211124465,0.05647156075761523,-1.324909067166641,-2.345240454918784
191270.4999580076,0.05083626101617247,-1.326833679765883,-2.63933835950418
211671.1777944971,0.04713227550355931,-1.326890217160662,-2.878677141674331
234247.7670040403,0.03896056971602012,-1.327703980102993,-3.230984548589788
259232.3476352178,0.02764605371732962,-1.329096135419369,-3.575400703942179
286881.7531110444,0.006178385559002474,-1.336065136740946,-3.954738360488506
317480.2103936402,0.00860436703806499,-1.338847266039326,-4.382086599334741
351342.2617456443,-0.001368789837515523,-1.341091741071861,-4.863045590114069
388815.9981231317,-0.01549662458907148,-1.344372387967693,-5.382141888885471
430286.6374382622,-0.02573967903295001,-1.352346423709823,-5.95461418858244
476180.4844750584,-0.03521233664539664,-1.363188184129859,-6.601868359012087
526969.3131649613,-0.04692725474612758,-1.373837639792787,-7.313890679007145
583175.2162705355,-0.05863507476442619,-1.385098039808068,-8.102907084540092
645375.9723305262,-0.07440815610097402,-1.403361651125157,-8.940342691301609
714210.9850367041,-0.09713220709918463,-1.42615590564528,-9.889872903009675
790387.856097398,-0.09376066971137646,-1.450515711582895,-10.92515514880846
874689.6591546229,-0.1034446575298619,-1.48344755344387,-12.05428623832533
967982.9895283077,-0.1153788462011824,-1.520709293286747,-13.26127986284854
1071226.872536429,-0.1281936187658937,-1.566154779203787,-14.62698017951328
1185482.621965661,-0.1391194114346399,-1.62482701323618,-16.08584713545897
1311924.750034485,-0.1697763141097481,-1.69099364297038,-17.66884423299808
1451853.04099962,-0.1750173964730433,-1.767822395490895,-19.39568636531435
1606705.912518561,-0.1972588574944596,-1.863258975921527,-21.26543451111809
1778075.202118738,-0.219503244213198,-1.9738526268758,-23.28387430138068
1967722.530773391,-0.248913295939383,-2.102345020228662,-25.44570064800514
2177597.411796459,-0.2874242049434229,-2.256662238387802,-27.75881178342661
2409857.2912101,-0.3320909449711421,-2.434686601027205,-30.2225017023281
2666889.725593274,-0.3954782686389033,-2.645161620546276,-32.8345142409503
2951336.925392598,-0.4331623630094822,-2.886092636243331,-35.57305081830441
3266122.915992767,-0.5125744483792444,-3.163656978180213,-38.42585862036405
3614483.595753485,-0.5878913695136766,-3.47897234171108,-41.38953971186299
4000000,-0.6859304150782658,-3.834989509856437,-44.43744912757374
